序号,单词,来源,释义,词源,例句
84,bargain,必考词 Unit 2,n. 廉价货,源自古法语 bargaigner，原意为“讨价还价”，引申为“交易、廉价品”。,"1. The coat was a real bargain.（这件外套买得真划算。）
2. They made a bargain to share the work.（他们达成协议分担工作。）
3. It is hard to bargain with him.（很难和他讨价还价。）"
85,capable,必考词 Unit 2,adj. 有能力的，能胜任的,源自拉丁语 capere（拿、抓），意为“能拿住的”，引申为“有能力的、能胜任的”。,"1. She is capable of doing the job.（她有能力完成这项工作。）
2. He is a very capable teacher.（他是一位非常有能力的老师。）
3. The system is capable of handling high traffic.（该系统能够处理高流量。）"
86,capacity,必考词 Unit 2,n. 才能，能力；生产力；接受能力或容纳能力,源自拉丁语 capacitas，由 capere（拿）演变而来，意为“容纳能力、容量”。,"1. The stadium has a capacity of 50,000.（体育场可容纳五万人。）
2. He has a great capacity for learning.（他有很强的学习能力。）
3. The factory is working at full capacity.（工厂正在满负荷运转。）"
87,capital,必考词 Unit 2,"n. 首都，首府；大写字母；资本，资金
adj. 首位的，最重要的；基本的；应处死刑的",源自拉丁语 capitalis（头的），引申为“首要的、资本、首都”。,"1. Beijing is the capital of China.（北京是中国的首都。）
2. They need more capital to start the business.（他们需要更多资本来创业。）
3. It is a capital mistake to ignore the details.（忽视细节是一个重大的错误。）"
88,captive,必考词 Unit 2,"adj. 被俘的，被监禁的
n. 俘虏，囚徒，战俘",源自拉丁语 captivus，由 capere（抓）演变而来，意为“被抓获的、俘虏”。,"1. The soldiers were held captive for years.（士兵们被囚禁了多年。）
2. The audience was a captive audience.（观众们被深深吸引住了（无法离开）。）
3. The animal was kept in captive conditions.（这只动物被圈养着。）"
89,capture,必考词 Unit 2,"vt. 俘虏，捕获；夺得，攻占
n. 俘虏，捕获",源自拉丁语 captura，由 capere（抓）演变而来，意为“捕获、夺取”。,"1. The police captured the thief.（警察抓住了小偷。）
2. The photo captures the beauty of the sunset.（这张照片捕捉到了日落的美景。）
3. The army captured the city.（军队占领了这座城市。）"
90,career,必考词 Unit 2,"n. 生涯，经历；职业
adj. 职业的",源自拉丁语 carrus（车），原意为“赛车场、奔跑”，引申为“职业生涯、事业”。,"1. She has a successful career in law.（她在法律界有成功的职业生涯。）
2. He is planning his future career.（他正在规划未来的职业。）
3. She decided to change her career path.（她决定改变职业道路。）"
91,careful,必考词 Unit 2,adj. 小心的，仔细的；细致的，精心的,由 care（关心、忧虑）+ ful（充满的）构成，意为“仔细的、谨慎的”。,"1. Please be careful with the glass.（请小心对待玻璃杯。）
2. He is careful about his health.（他很注意自己的健康。）
3. A careful study shows the results are correct.（仔细的研究表明结果是正确的。）"
92,case,必考词 Unit 2,n. 事例，事实；病例；案件,源自拉丁语 casus（落下、发生），引申为“情况、案例、箱子”。,"1. In that case, I will go.（既然那样，我就去。）
2. This is a clear case of injustice.（这是一个明显的不公正案例。）
3. Put your books in the case.（把书放进箱子里。）"
93,cause,必考词 Unit 2,"vt. 导致，引起
n. 原因，起因；理由，缘故；事业，（奋斗的）目标",源自拉丁语 causa，意为“原因、理由、事业”。,"1. Smoking is a major cause of cancer.（吸烟是癌症的主要原因。）
2. What caused the accident?（是什么导致了这次事故？）
3. They are fighting for a good cause.（他们正在为一项正义的事业而奋斗。）"
94,caution,必考词 Unit 2,"n. 谨慎，慎重；警告
vt. 警告，提醒",源自拉丁语 cautio，意为“小心、警惕”。,"1. He advised caution in the matter.（他建议在这件事上要谨慎。）
2. The sign says 'Caution: Wet Floor'.（牌子上写着“小心：地面湿滑”。）
3. We should proceed with caution.（我们应该谨慎行事。）"
95,cautious,必考词 Unit 2,adj. 小心的，谨慎的,由 caution（小心）+ ous（形容词后缀）构成，意为“谨慎的、小心的”。,"1. He is a cautious driver.（他是一位谨慎的司机。）
2. Investors are cautious about the market.（投资者对市场持谨慎态度。）
3. She gave a cautious reply.（她给出了一个谨慎的回答。）"
96,cease,必考词 Unit 2,"v. 停止, 终止, 结束",源自拉丁语 cessare，意为“停止、中断”。,"1. The rain ceased at noon.（雨在中午停了。）
2. They were ordered to cease fire.（他们被命令停火。）
3. The company ceased operations last year.（该公司去年停止了运营。）"
97,cast,必考词 Unit 2,"v. 投，扔，抛，撒，掷；分配，扮演某角色；铸造，浇铸
n. 演员表，一组演员，角色分派",源自古诺斯语 kasta，意为“投掷、抛、铸造”。,"1. He cast the fishing line into the water.（他把鱼线抛入水中。）
2. The movie has a great cast.（这部电影的演员阵容很强大。）
3. The sun cast a long shadow.（太阳投下了长长的影子。）"
98,casual,必考词 Unit 2,"adj. 偶然的, 无计划的, 随便的, 非正式的",源自拉丁语 casualis，由 casus（发生）演变而来，意为“偶然的、随意的”。,"1. He wore casual clothes to the party.（他穿着休闲装去参加聚会。）
2. It was just a casual conversation.（那只是一次随意的谈话。）
3. She is a casual worker.（她是一名临时工。）"
99,casualty,必考词 Unit 2,n. 伤亡者，牺牲品,源自 casual（偶然），原指“偶然事件”，后引申为“伤亡人员”。,"1. There were many casualties in the war.（战争中有很多伤亡人员。）
2. The company was a casualty of the economic crisis.（该公司是经济危机的牺牲品。）
3. The accident resulted in no casualties.（事故没有造成人员伤亡。）"
100,catch,必考词 Unit 2,v. 捉住，捕获；赶上，搭上；感染，得病；理解，听懂,源自古法语 cachier，意为“捕捉、抓住”。,"1. He caught the ball.（他接住了球。）
2. I need to catch the bus.（我得去赶公交车。）
3. Did you catch what he said?（你听清他说的话了吗？）"
101,category,必考词 Unit 2,n. 类别，种类，类目,源自希腊语 kategoria，意为“陈述、类别”。,"1. These books fall into different categories.（这些书属于不同的类别。）
2. He is in a different category of players.（他属于不同类别的选手。）
3. Please sort the items by category.（请按类别整理这些物品。）"
102,cater,必考词 Unit 2,v. 提供饮食，承办酒席；提供节目，满足需要，迎合,源自古法语 acater（购买），引申为“提供饮食、迎合需求”。,"1. They cater for weddings and parties.（他们为婚礼和聚会提供餐饮服务。）
2. The media caters to the public's taste.（媒体迎合大众的口味。）
3. The hotel caters to business travelers.（这家酒店专门服务商务旅客。）"
103,celebrate,必考词 Unit 2,v. 庆祝; 赞美,源自拉丁语 celebrare，意为“频繁访问、赞美、庆祝”。,"1. We celebrated his birthday yesterday.（我们昨天庆祝了他的生日。）
2. They celebrated the victory with a party.（他们开派对庆祝胜利。）
3. The festival is celebrated annually.（这个节日每年都会庆祝。）"
104,celebrity,必考词 Unit 2,n. 名人，知名人士；名声，名望,源自拉丁语 celebritas，由 celebrate（庆祝）演变而来，意为“名声、名人”。,"1. He is a famous celebrity.（他是一位著名的名人。）
2. The celebrity signed autographs for fans.（这位名人给粉丝签名。）
3. She enjoys her celebrity status.（她很享受自己的名人地位。）"
105,ceremony,必考词 Unit 2,n. 典礼，仪式；礼节，礼仪,源自拉丁语 caerimonia，意为“宗教仪式、礼节”。,"1. The opening ceremony was impressive.（开幕式令人印象深刻。）
2. They held a wedding ceremony.（他们举行了婚礼仪式。）
3. He performed the ceremony with dignity.（他庄重地主持了仪式。）"
106,certain,必考词 Unit 2,adj. 确定的，肯定的；某，某些；轻微的，一点，一些,源自拉丁语 certus，意为“确定的、无疑的”。,"1. I am certain that he will come.（我确信他会来。）
2. For certain reasons, I cannot go.（由于某些原因，我不能去。）
3. It is certain to rain today.（今天肯定会下雨。）"
107,certainty,必考词 Unit 2,n. 必然，确定，肯定；必然的事，确定的事,由 certain（确定的）+ ty（名词后缀）构成，意为“确定性、必然”。,"1. There is no absolute certainty in life.（生活中没有绝对的确定性。）
2. He spoke with great certainty.（他说话时非常肯定。）
3. The result is a certainty.（结果是必然的。）"
